method,SoyLocal,Average
RN TV1,56.16666666666666,56.16666666666666
RN TV2,58.333333333333336,58.333333333333336
RN Gluon,57.333333333333336,57.333333333333336
RN IN21k-P,56.0,56.0
RN A1,58.5,58.5
RN IG1b,56.5,94.54048003979604
RN YFCC100m,57.833333333333336,57.833333333333336
RN SupCon,56.16666666666666,56.16666666666666
RN SwAV,64.16666666666667,64.16666666666667
RN MoCo v3,56.16666666666666,56.16666666666666
RN SparK,56.833333333333336,56.833333333333336
ViT,58.833333333333336,58.833333333333336
DeiT,64.33333333333333,64.33333333333333
ViT IN21k-P,62.333333333333336,62.333333333333336
DeiT 3 (IN1k),61.833333333333336,61.833333333333336
DeiT 3 (IN21k),58.333333333333336,58.333333333333336
ViT MoCo v3,60.0,60.0
ViT DINO,61.0,61.0
ViT CLIP,61.16666666666666,61.16666666666666
ViT SigLIP v2,55.5,55.5
ViT MAE,58.833333333333336,58.833333333333336
