method,SoyLocal,Average
RN TV1,54.5,54.5
RN TV2,58.333333333333336,58.333333333333336
RN Gluon,59.333333333333336,59.333333333333336
RN IN21k-P,57.833333333333336,57.833333333333336
RN A1,53.5,53.5
RN IG1b,54.833333333333336,54.833333333333336
RN YFCC100m,57.16666666666666,57.16666666666666
RN SupCon,55.5,55.5
RN SwAV,63.5,63.5
RN MoCo v3,57.333333333333336,57.333333333333336
RN SparK,33.166666666666664,33.166666666666664
ViT,52.16666666666666,52.16666666666666
DeiT,51.833333333333336,51.833333333333336
ViT IN21k-P,53.833333333333336,53.833333333333336
DeiT 3 (IN1k),48.5,48.5
DeiT 3 (IN21k),58.333333333333336,58.333333333333336
ViT MoCo v3,47.16666666666666,47.16666666666666
ViT DINO,60.0,60.0
ViT CLIP,58.833333333333336,58.833333333333336
ViT SigLIP v2,54.0,54.0
ViT MAE,58.833333333333336,58.833333333333336
